likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,time_since_publish,tag_count,like_dislike_ratio,comment_view_ratio,title_words_count,description_words_count,is_viral
33966,798,882,False,False,False,1,15,42.51063829787234,0.000804503761647974,15,117,1
735,904,0,True,False,False,0,19,0.8121546961325967,0.0,12,371,1
2011,243,149,False,False,False,1,14,8.241803278688524,0.0003143532866796487,10,47,1
70353,1624,2684,False,False,False,1,20,43.29415384615385,0.0021598463322445582,6,29,1
492,293,66,False,False,False,0,11,1.6734693877551021,0.00014223647460432398,12,85,1
98612,4185,4763,False,False,False,3,22,23.557572861920686,0.0007799668231622144,15,65,1
127477,7134,8063,False,False,False,2,18,17.866433076384023,0.0014099193060322268,19,113,1
132738,8812,10847,False,False,False,2,26,15.061613525473732,0.0010244256624153364,18,141,1
520,53,23,False,False,False,0,21,9.62962962962963,0.00019454594667749357,13,48,1
59798,1545,2404,False,False,False,1,23,38.67917205692109,0.0024808287866951626,8,72,1
4330,2183,2869,False,False,False,1,23,1.9826007326007327,0.004534190546631518,13,15,1
32834,710,1743,False,False,False,2,22,46.18002812939522,0.0007422997579327697,16,177,1
716,53,0,True,False,False,0,20,13.25925925925926,0.0,17,77,1
2611,250,174,False,False,False,2,12,10.402390438247012,0.00036832100657474163,18,219,1
24460,180,594,False,False,False,1,25,135.13812154696132,0.0007105203664562617,17,291,1
238,59,18,False,False,False,0,28,3.966666666666667,0.0002010454362685967,10,18,0
25717,417,2870,False,False,False,0,11,61.52392344497608,0.008329802116408259,7,32,1
829362,61195,101117,False,False,False,6,22,13.552552454408785,0.0028177475992911395,12,107,1
14070,448,1105,False,False,False,1,30,31.33630289532294,0.0052719465648854965,12,15,1
97187,6146,12703,False,False,False,0,4,15.810476655278999,0.005251812480982179,10,80,1
14960,1361,913,False,False,False,2,13,10.983847283406755,0.0003979526144353497,16,220,1
9504,938,956,False,False,False,3,29,10.121405750798722,0.0004885212828691529,13,47,1
2159,1214,711,False,False,False,0,18,1.7769547325102881,0.0018361560035328572,4,34,1
588,52,23,False,False,False,1,3,11.09433962264151,0.00013033155213545416,8,51,1
45,94,15,False,False,False,0,16,0.47368421052631576,0.0002718425487957375,14,1,0
858,197,66,False,False,False,1,1,4.333333333333333,0.00027882100958552834,14,1,1
7975,368,1274,False,False,False,0,7,21.612466124661246,0.0053386300589176915,9,78,1
114,91,13,False,False,False,1,28,1.2391304347826086,0.0001521660248381773,10,55,0
7861,68,364,False,False,False,1,21,113.92753623188406,0.0014593623709025594,14,50,1
318,123,35,False,False,False,0,20,2.564516129032258,0.0001366120218579235,14,235,1
3926,249,131,False,False,False,1,8,15.704,0.0009531501247826309,8,80,1
1971,126,201,False,False,False,2,22,15.51968503937008,0.0007695164297500411,9,29,1
8505,868,1361,False,False,False,2,15,9.78711162255466,0.0020757678129399186,11,44,1
